51,"Aave","$741,043,881","$51.39","14,434,127","$29,288,294","-0.77 %",2023-06-19 18:20:21.04249
56,"EOS","$694,567,356","$0.63","1,109,764,130","$82,812,941","-1.98 %",2023-06-19 18:20:21.04249
58,"Tezos","$670,305,640","$0.72","933,992,636","$13,179,083","-2.37 %",2023-06-19 18:20:21.04249
60,"Maker","$646,651,915","$715.52","901,311","$22,878,282","5.46 %",2023-06-19 18:20:21.04249
60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2023-06-19 18:20:21.04249
62,"Theta Network","$640,304,978","$0.64","1,000,000,000","$5,881,780","-2.16 %",2023-06-19 18:20:21.04249
63,"Decentraland","$614,053,652","$0.34","1,824,333,807","$30,668,859","-1.88 %",2023-06-19 18:20:21.04249
64,"KuCoin","$606,634,062","$6.28","96,833,502","$4,069,079","-13.42 %",2023-06-19 18:20:21.04249
67,"Synthetix Network","$575,733,186","$1.80","319,202,893","$11,706,581","-2.07 %",2023-06-19 18:20:21.04249
69,"Axie Infinity","$562,836,614","$4.87","115,661,359","$25,050,972","-2.16 %",2023-06-19 18:20:21.04249
71,"Gate","$552,180,698","$3.97","139,018,905","$598,853","-0.83 %",2023-06-19 18:20:21.04249
72,"NEO","$546,345,352","$7.75","70,530,000","$16,529,790","-1.88 %",2023-06-19 18:20:21.04249
73,"Curve DAO","$529,580,164","$0.62","853,989,561","$31,909,517","-1.71 %",2023-06-19 18:20:21.04249
74,"Terra Luna Classic","$518,917,841","$0.00","5,839,346,461,210","$35,612,610","-1.22 %",2023-06-19 18:20:21.04249
75,"Klaytn","$494,680,840","$0.16","3,131,686,915","$9,188,093","-0.33 %",2023-06-19 18:20:21.04249
76,"PAX Gold","$492,625,355","$1,924.00","255,841","$3,220,315","-0.24 %",2023-06-19 18:20:21.04249
78,"Flow","$482,207,448","$0.47","1,036,200,000","$13,234,176","-0.79 %",2023-06-19 18:20:21.04249
79,"Tether Gold","$481,170,476","$1,948.89","246,524","$6,491,316","-0.49 %",2023-06-19 18:20:21.04249
80,"Bitcoin SV","$479,615,282","$24.88","19,266,077","$8,111,496","-1.98 %",2023-06-19 18:20:21.04249
81,"Kava","$475,585,719","$0.82","580,271,493","$14,764,441","-0.25 %",2023-06-19 18:20:21.04249
82,"cETH","$455,292,242","$34.50","13,197,951","$43","-1.40 %",2023-06-19 18:20:21.04249
85,"IOTA","$440,377,871","$0.16","2,779,530,283","$6,826,358","-2.05 %",2023-06-19 18:20:21.04249
87,"XDC Network","$433,375,312","$0.03","13,844,020,369","$2,371,894","-4.65 %",2023-06-19 18:20:21.04249
89,"Huobi","$424,712,912","$2.61","162,336,522","$8,076,546","0.08 %",2023-06-19 18:20:21.04249
91,"cUSDC","$398,224,663","$0.02","17,377,702,478","$3","0.10 %",2023-06-19 18:20:21.04249
94,"Mina Protocol","$393,695,674","$0.43","919,911,309","$6,120,375","-0.89 %",2023-06-19 18:20:21.04249
97,"eCash","$388,900,950","$0.00","19,419,298,423,293","$2,011,901","-2.05 %",2023-06-19 18:20:21.04249
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2023-06-19 18:20:21.04249
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2023-06-19 18:20:21.04249
100,"Chiliz","$363,323,180","$0.07","5,344,064,580","$23,568,284","-1.15 %",2023-06-19 18:20:21.04249
1173,"Perth Mint Gold Token","$2,065,882","$1,786.56","1,157","$12,755","-0.03 %",2023-06-19 18:20:21.04249
1508,"Digix Gold Token","$1,169,772","$45.22","25,792","$0","-1.00 %",2023-06-19 18:20:21.04249
5920,"AurusGOLD","$0","$58.85","0","$41,716","-0.09 %",2023-06-19 18:20:21.04249
